ioc,ioc_type,malware,first_seen
46.62.255.252:443,ip:port,Vidar,2026-06-15 06:25:14
46.225.156.170:443,ip:port,Vidar,2026-06-15 06:25:14
95.216.152.191:443,ip:port,Vidar,2026-06-15 06:25:14
178.105.210.87:443,ip:port,Vidar,2026-06-15 06:25:14
65.21.96.133:443,ip:port,Vidar,2026-06-15 06:25:13
46.224.136.4:443,ip:port,Vidar,2026-06-15 06:25:13
128.140.123.80:443,ip:port,Vidar,2026-06-15 06:25:13
5.161.119.247:443,ip:port,Vidar,2026-06-15 06:25:13
46.225.162.206:443,ip:port,Vidar,2026-06-15 06:25:13
https://95.216.152.191/,url,Vidar,2026-06-15 06:24:09
https://178.105.210.87/,url,Vidar,2026-06-15 06:24:09
https://204.168.163.225/,url,Vidar,2026-06-15 06:24:08
https://178.104.208.168/,url,Vidar,2026-06-15 06:24:08
https://62.238.44.180/,url,Vidar,2026-06-15 06:24:08
https://178.104.211.206/,url,Vidar,2026-06-15 06:24:08
https://46.62.255.252/,url,Vidar,2026-06-15 06:24:08
https://46.225.156.170/,url,Vidar,2026-06-15 06:24:08
https://65.21.96.133/,url,Vidar,2026-06-15 06:24:07
https://46.224.136.4/,url,Vidar,2026-06-15 06:24:07
https://128.140.123.80/,url,Vidar,2026-06-15 06:24:07
https://5.161.119.247/,url,Vidar,2026-06-15 06:24:07
https://46.225.162.206/,url,Vidar,2026-06-15 06:24:07
maryaxdn.sanjeshravani.shop,domain,ClearFake,2026-06-15 06:21:05
fpsjq82d.shartbandifootballkade.online,domain,ClearFake,2026-06-15 06:21:00
snd.goturbo88.top,domain,Vidar,2026-06-15 06:13:23
ikg.goturbo88.top,domain,Vidar,2026-06-15 06:13:23
ggt.goturbo88.top,domain,Vidar,2026-06-15 06:13:23
snd.glamisrents.com,domain,Vidar,2026-06-15 06:13:23
ikg.glamisrents.com,domain,Vidar,2026-06-15 06:13:23
https://snd.goturbo88.top/,url,Vidar,2026-06-15 06:12:38
https://ikg.goturbo88.top/,url,Vidar,2026-06-15 06:12:38
https://ggt.goturbo88.top/,url,Vidar,2026-06-15 06:12:38
https://snd.glamisrents.com/,url,Vidar,2026-06-15 06:12:38
https://ikg.glamisrents.com/,url,Vidar,2026-06-15 06:12:38
https://ggt.glamisrents.com/,url,Vidar,2026-06-15 06:12:38
https://steamcommunity.com/profiles/76561198689449626,url,Vidar,2026-06-15 06:12:37
https://telegram.me/turb00m,url,Vidar,2026-06-15 06:12:37
bcfrgjpx.sakhtemandade.shop,domain,ClearFake,2026-06-15 05:48:04
vazqhwad.sadreislam.xyz,domain,ClearFake,2026-06-15 05:20:10
qilapvvt.ganuneasasi.xyz,domain,ClearFake,2026-06-15 05:01:09
9zpx37x0.ganuneasasi.xyz,domain,ClearFake,2026-06-15 04:59:26
ewa1b63u.fununetadris.shop,domain,ClearFake,2026-06-15 04:58:10
ggt.glamisrents.com,domain,Vidar,2026-06-15 04:56:40
pod.turbo88jp.top,domain,Vidar,2026-06-15 04:56:40
utnoqzc.melbetkade.com,domain,ClearFake,2026-06-15 04:52:25
pauheuld.questionsmotor.xyz,domain,ClearFake,2026-06-15 04:42:59
everztsi.maharatmodiran.xyz,domain,ClearFake,2026-06-15 04:10:31
tblrdccw.mabanishimi.xyz,domain,ClearFake,2026-06-15 03:38:16
543533s9.nagshekeshi.xyz,domain,ClearFake,2026-06-15 03:14:09
tawej.bankefiile.com,domain,ClearFake,2026-06-15 03:13:14
fkwiyfrv.leaguejazire.com,domain,ClearFake,2026-06-15 03:09:48
384njud7.enfejarkade.online,domain,ClearFake,2026-06-15 02:57:35
